,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
8277,1612466635.7,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.59457168236403,-105.14030933069151,0.004779226759500878,2.8936878808270006,35.0,250.0,6.3715109758254975,-5.443183616683827,8.38,-0.7069853071795864,8360.0,275.65000000000003,1612466635.7
8278,1612466635.8,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.594571679586245,-105.14030932235814,0.0038421115353175065,5.126042608024241,35.0,250.0,6.295478625278653,-5.378229158250845,8.28,-0.7069853071795864,8360.0,275.65000000000003,1612466635.8
8279,1612466635.9,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168514179,-105.1403093390248,0.005112889294090977,6.107664756725425,35.0,250.0,6.285175634058777,-5.313140996532452,8.23,-0.7017853071795861,8360.0,275.65000000000003,1612466635.9
8280,1612466636.0,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168864122,-105.14030932447297,0.0028633507842891746,1.9814846273016857,35.0,250.0,6.090787385529234,-5.093712695498046,7.94,-0.696485307179586,8360.0,275.65000000000003,1612466636.1
8281,1612466636.1,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168308565,-105.14030933280632,0.0035180921484277102,4.71238898038469,35.0,250.0,6.090787385529234,-5.093712695498046,7.94,-0.696485307179586,8360.0,275.65000000000003,1612466636.1
8282,1612466636.2,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168864122,-105.14030933280632,0.0035180741505405305,4.71238898038469,35.0,250.0,5.837643829203712,-4.882009271125961,7.61,-0.696485307179586,8360.0,275.65000000000003,1612466636.2
8283,1612466636.3,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168308565,-105.14030934113964,0.0030887553823710744,3.141592653589793,35.0,250.0,5.588377765193007,-4.77415269482412,7.35,-0.7069853071795864,8360.0,275.65000000000003,1612466636.3
8284,1612466636.4,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.59457168308565,-105.14030933280632,0.0019391552324425413,0.6494463908330453,35.0,250.0,5.250578118318889,-4.6142745283989,6.990000000000001,-0.7209853071795849,8360.0,275.65000000000003,1612466636.4
8285,1612466636.5,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.594571685863436,-105.14030933836186,0.004779246889980859,0.2479065884692106,35.0,250.0,5.076970435819695,-4.508710591046266,6.789999999999999,-0.7261853071795861,8360.0,275.65000000000003,1612466636.5
8286,1612466636.6,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.594571691419,-105.14030933002851,0.0038782969161840937,0.6494455635877133,35.0,250.0,4.852093259510657,-4.370136268013991,6.530000000000001,-0.7331853071795865,8360.0,275.65000000000003,1612466636.6
8287,1612466636.7,0.0,239.997,15.4597,-0.9108200000000001,-884.2689999999999,20.4434,0.068391,-1.0,-0.908708,-863.4889999999999,19.7038,0.15931199999999998,-1.0,12294.0,14771.0,274.0,90.0,40.594571691419,-105.14030933280632,0.002345396765318755,4.71238898038469,35.0,250.0,4.666331524571994,-4.262364379400899,6.32,-0.7401853071795871,8360.0,275.65000000000003,1612466636.7
8288,1612466636.8,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571691419,-105.14030933558409,0.0038421272855281656,4.29873479082755,35.0,250.0,4.489659978592157,-4.159008689174366,6.120000000000001,-0.7471853071795861,8360.0,275.65000000000003,1612466636.8
8289,1612466636.9,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.59457168864122,-105.14030934113964,0.003636944052634772,3.125338581554732,35.0,250.0,4.3876658349920055,-4.10712655276702,6.01,-0.7523853071795862,8360.0,275.65000000000003,1612466636.9
8290,1612466637.0,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.5945716848783,-105.14030933544407,0.0025417256305827994,0.023256879451556668,35.0,250.0,4.340556649161377,-4.084255036470264,5.959997586200162,-0.7549853071795856,8360.0,275.65000000000003,1612466637.1
8291,1612466637.1,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571693211634,-105.14030934099964,0.0,0.0,35.0,250.0,4.340556649161377,-4.084255036470264,5.959997586200162,-0.7549853071795856,8360.0,275.65000000000003,1612466637.1
8292,1612466637.2,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.5945716848783,-105.14030933544407,0.0015443757159673238,0.0,35.0,250.0,4.329924680576859,-4.095528324957769,5.960000000000001,-0.7575853071795866,8360.0,275.65000000000003,1612466637.2
8293,1612466637.3,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571695989416,-105.14030934099964,0.00477922911705726,6.035281623917093,35.0,250.0,4.37326404698034,-4.122458195711526,6.01,-0.755885307179586,8360.0,275.65000000000003,1612466637.3
8294,1612466637.4,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571693211634,-105.14030933822184,0.003303880750145947,5.920325206960083,35.0,250.0,4.489659978592157,-4.159008689174366,6.120000000000001,-0.7471853071795861,8360.0,275.65000000000003,1612466637.4
8295,1612466637.5,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.59457170154498,-105.14030934377745,0.0038783228261129415,5.6337342289916075,35.0,250.0,4.504188980145405,-4.143269437429419,6.119999999999999,-0.7436853071795861,8360.0,275.65000000000003,1612466637.5
8296,1612466637.6,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571698767204,-105.14030934377745,0.0038421476707183625,1.9844468640834403,35.0,250.0,4.5311400355032925,-4.023974400845416,6.0600000000000005,-0.7261853071795861,8360.0,275.65000000000003,1612466637.6
8297,1612466637.7,0.0,240.016,15.4641,-0.90122,-866.818,19.4537,-0.040408,-1.0,-0.900418,-872.952,18.9442,0.0701572,-1.0,12294.0,14771.0,274.0,90.0,40.594571698767204,-105.14030933544407,0.0030887395806253664,0.0,35.0,250.0,4.4731032163279325,-3.862570079115292,5.910000000000001,-0.7122853071795865,8360.0,275.65000000000003,1612466637.7
8298,1612466637.8,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.594571704322746,-105.14030934377745,0.004681594468751547,5.432891302302213,35.0,250.0,4.423888732284449,-3.766338870092107,5.8100000000000005,-0.7052853071795859,8360.0,275.65000000000003,1612466637.8
8299,1612466637.9,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.594571704322746,-105.14030934377745,0.004350204524633483,0.8549422525249892,35.0,250.0,4.398859252998609,-3.7185531154346196,5.759999999999999,-0.7017853071795861,8360.0,275.65000000000003,1612466637.9
